FTDX10 family CAT command status for V3_5_7
Source basis: official Yaesu FTDX10 CAT Operation Reference Manual command list, cross-checked against current local software.

CMD | Funktion | Status in V3_5_7 | Hinweis
SH | Width | nein | keine FTDX10-Implementierung gefunden
SM | S meter | teilweise | konkret SM0 Abfrage vorhanden, kein allgemeiner SM-Ausbau darueber hinaus
SQ | Squelch level | nein | keine FTDX10-Implementierung gefunden
SS | Spectrum scope | nein | keine FTDX10-Implementierung gefunden
ST | Split | teilweise | ST read/on/off vorhanden, kein +5 kHz quick-split Parameter
SV | Swap VFO | vorbereitet | SV-Kommando und asciiSwapVfo vorhanden, aber kein klarer FTDX10-Userpfad in der UI
TS | TXW | nein | keine FTDX10-Implementierung gefunden
TX | TX set | nein | keine FTDX10-Implementierung gefunden
UL | Unlock | nein | keine FTDX10-Implementierung gefunden
UP | Up | nein | keine FTDX10-Implementierung gefunden
VD | VOX delay time | nein | keine FTDX10-Implementierung gefunden
VG | VOX gain | nein | keine FTDX10-Implementierung gefunden
VM | [V/M] key function | nein | keine FTDX10-Implementierung gefunden
VS | VFO select | implementiert | read/select A/select B vorhanden
VX | VOX | nein | keine FTDX10-Implementierung gefunden
XT | TX clarifier | nein | keine FTDX10-Implementierung gefunden
ZI | Zero in | nein | keine FTDX10-Implementierung gefunden
